iddesa,pop2020
1106011009,541
1106011010,976
1106011011,1139
1106012001,1196
1106012002,1345
1106012003,403
1106012004,1827
1106012005,1385
1106012006,775
1106012007,742
1106012008,1100
1106012009,440
1106012010,171
1106020001,240
1106020002,537
1106020003,453
1106020004,341
1106020005,649
1106020006,830
1106020007,869
1106020008,442
1106020009,940
1106020010,937
1106020011,403
1106020012,600
1106020013,140
1106020014,206
1106020015,222
1106020016,526
1106020017,514
1106020018,339
1106020019,316
1106020020,341
1106020021,203
1106020022,80
1106020023,474
1106020024,2204
1106031001,1135
1106031002,632
1106031003,1894
1106031004,1170
1106031005,418
1106031006,543
1106031007,532
1106031008,483
1106031009,502
1106031010,323
1106031011,4856
1106031012,2048
1106031013,881
1106031014,842
1106031015,456
1106031016,377
1106031017,368
1106031018,1169
1106032001,1499
1106032002,891
1106032003,1055
1106032004,463
1106032005,2110
1106032006,781
1106032007,437
1106032008,675
1106032009,797
1106032010,601
1106032011,706
1106032013,482
1106032014,783
1106032015,523
1106032016,1524
1106032017,595
1106032018,880
1106032019,1745
1106032030,184
1106032031,1122
1106040001,374
1106040002,548
1106040003,383
1106040004,847
1106040005,556
1106040006,1149
1106040007,525
1106040008,830
1106040009,1230
1106040010,2630
1106040011,1028
1106040012,1414
1106040013,682
1106040019,821
1106040022,530
1106040023,526
1106040024,843
1106040025,802
1106040026,863
1106040027,619
1106040028,431
1106040029,479
1106040032,704
1106040033,224
1106040034,227
1106040035,688
1106040036,657
1106040038,401
1106040039,207
1106040041,393
1106040042,578
1106041001,669
1106041002,393
1106041003,804
1106041004,988
1106041005,579
1106041006,1291
1106041007,833
1106041008,787
1106041009,346
1106041010,505
1106041011,389
1106041012,1181
1106050001,1773
1106050002,4078
1106050003,3492
1106050004,5407
1106050005,3092
1106050006,1710
1106050007,2285
1106050008,496
1106050009,639
1106050010,578
1106050011,625
1106050012,476
1106050019,424
1106050020,388
1106050021,1234
1106050022,449
1106050023,2569
1106050024,1777
1106050025,1195
1106050026,1211
1106050027,1231
1106050028,491
1106050029,543
1106050030,633
1106050031,408
1106050032,172
1106050033,2453
1106050034,357
1106051001,272
1106051002,459
1106051003,468
1106051004,350
1106051005,354
1106051006,274
1106051007,235
1106051008,245
1106051009,366
1106051010,402
1106051011,466
1106051012,484
1106051013,476
1106051014,265
1106051015,439
1106051016,385
1106051017,132
1106051018,101
1106051019,403
1106051020,312
1106051021,386
1106051022,416
1106051023,353
1106051024,639
1106060009,1343
1106060011,2356
1106060012,718
1106060013,895
1106060014,964
1106060015,356
1106060016,1010
1106060017,602
1106060018,1152
1106060019,747
1106060020,880
1106060021,813
1106060049,800
1106060051,178
1106060052,833
1106060053,592
1106060054,285
1106060055,575
1106060056,913
1106060057,306
1106060058,642
1106060059,867
1106060060,715
1106060061,402
1106060062,903
1106060065,453
1106060066,413
1106060067,309
1106060068,318
1106060069,757
1106060070,867
1106060071,978
1106060072,318
1106061001,656
1106061002,632
1106061003,916
1106061004,584
1106061005,1771
1106061006,639
1106061007,462
1106061008,358
1106061009,269
1106061010,770
1106061011,837
1106061012,535
1106061013,1025
1106061014,183
1106061015,512
1106061016,468
1106061017,355
1106061018,461
1106061019,820
1106061020,715
1106061021,347
1106061022,459
1106061023,387
1106061024,449
1106061025,1277
1106062001,534
1106062002,606
1106062003,897
1106062004,478
1106062005,279
1106062006,608
1106062007,728
1106062008,851
1106062009,702
1106062010,242
1106062011,600
1106062012,322
1106062013,254
1106062014,1028
1106062015,548
1106062016,343
1106062017,378
1106063001,363
1106063002,803
1106063003,619
1106063004,515
1106063005,1221
1106063006,681
1106063007,615
1106063008,693
1106063009,192
1106063010,365
1106063011,576
1106063012,441
1106063013,250
1106063014,530
1106063015,344
1106063016,829
1107050001,297
1107050002,2864
1107050003,1217
1107050004,2237
1107050005,430
1107050006,4218
1107050007,6115
1107050008,3401
1107050009,5373
1107050010,7121
1107050011,775
1107050012,3924
1107050013,6082
1107050014,2863
1107050015,1367
1107050016,183
1107050017,5691
1107050018,5053
1107050019,4051
1107050020,555
1107050021,351
1107060007,441
1107060008,642
